Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,EWJ Returns,Portfolio Returns,,VTI,Portfolio,,,,,
9/22/14,-0.001824885,-0.008445946,-0.014782828,-0.003655958,-0.002049688,0.001221633,-0.009232612,-0.000846746,-0.002101989,,1.679643283,1.716832072,,,,,
9/23/14,-0.005054316,0,-0.006463498,-0.013105022,0.006418485,0.006187895,-0.006406478,-0.001694927,0.001969844,,1.664135787,1.713223311,,,,,
9/24/14,-0.003026353,0.004258944,0.015635965,0.004233975,-0.004676828,-0.005543521,0.00780217,0.005942318,-0.002218359,,1.653474538,1.716598094,,,,,
9/25/14,-0.006829986,-0.002120399,-0.023116052,-0.016651945,0.002904707,0.011845666,-0.015678261,-0.002531664,0.001895511,,1.666375227,1.712790063,,,,,
9/26/14,-0.000654926,-0.0017,0.00638904,0.003963276,-0.002811151,-0.001463353,0.008112386,0.007614181,-0.000633263,,1.640249362,1.716036676,,,,,
9/29/14,-0.002075397,0.00595994,-0.021396665,-0.007536319,-0.00025627,0.008017242,-0.001766446,-0.00587737,0.002335763,,1.653555697,1.714949974,,,,,
9/30/14,0.006457929,-0.017350826,0.002162429,-0.001627194,-0.00700675,-0.005644438,-0.004718865,-0.005912118,-0.004533388,,1.65063478,1.71895569,,,,,
10/1/14,0.001103167,-0.003445306,-0.019180051,-0.010865654,0.004818845,0.019391203,-0.01313705,-0.016142764,0.006601012,,1.642845658,1.711162997,,,,,
10/2/14,0.001963699,-0.003889369,0.006110997,-0.01171731,-0.000256907,-0.00871189,0.000500407,-0.018998321,-0.003908719,,1.621263512,1.722458404,,,,,
10/3/14,0.003375497,-0.009544426,0.00826045,-0.00407561,-0.018245649,0.004266212,0.011204513,0.012323942,-0.001505258,,1.622074804,1.715725798,,,,,
10/6/14,0.001085164,0.012702628,0.017831352,0.008556593,0.012389826,0.000594736,-0.001978675,-0.002608625,0.004786731,,1.640249362,1.713143188,,,,,
10/7/14,-0.003794023,-0.003892733,-0.009706425,-0.02084104,0.002844109,0.013500922,-0.015463895,-0.006102921,0.003113167,,1.637003841,1.721343542,,,,,
10/8/14,0.004787764,-0.003907946,0.015300006,0.018270892,0.009539361,0.000251336,0.016612986,0.006140395,0.004260548,,1.611689386,1.726702372,,,,,
10/9/14,-0.010612903,-0.011769877,-0.013892158,-0.030151694,0.001447161,-0.004355447,-0.020600195,-0.02528335,-0.007127201,,1.638464358,1.73405907,,,,,
10/10/14,-0.008099802,-0.003528893,-0.022683883,-0.013541845,-0.000425051,0.009926808,-0.012438025,-0.014311281,5.99E-05,,1.604711673,1.721700083,,,,,
10/13/14,-0.00496585,0,0.012215971,-0.000193406,0.007908845,0.006080765,-0.015973836,-0.009074475,0.002378314,,1.584752228,1.721803239,,,,,
10/14/14,0.003327088,-0.015050907,0.004586024,0.001547137,0.000590609,0.006540826,0.003121781,0.006410303,0.002149799,,1.559437655,1.725898229,,,,,
10/15/14,0.000221029,-0.012584315,-0.01393557,-0.010812922,0.003372983,0.007896678,-0.005601675,-0.005459455,0.001494942,,1.564305878,1.729608562,,,,,
10/16/14,0.00563601,0.010013746,-0.009990239,-0.010540732,0.001932961,-0.006365775,0.002190685,-0.003659678,-0.000403334,,1.555543145,1.732194227,,,,,
10/17/14,0.0084615,0.003605182,0.012798441,0.022686958,-0.001929232,-0.005585221,0.010929569,0.004591307,0.000842408,,1.55895085,1.731495574,,,,,
10/20/14,0.007191928,-0.007184508,0.000729,0.004243855,0.006807337,0.00363428,0.009987574,0.020109647,0.004434911,,1.575989512,1.732954199,,,,,
10/21/14,0.008114249,0.008141112,0.004613865,0.015943091,0.001836344,-0.007982887,0.019777787,-0.001792036,0.001034932,,1.591729824,1.740639697,,,,,
10/22/14,-0.006546473,-0.011215791,-0.007976761,-0.010966111,-0.005665731,0.001078456,-0.007797649,0.00089758,-0.00393524,,1.623210717,1.742441141,,,,,
10/23/14,-0.000432113,0.011796642,0.000974682,0.01357291,-0.006871116,-0.008867153,0.01209065,0.006278073,-0.002664193,,1.610553489,1.735584216,,,,,
10/24/14,0.002809918,-0.006277982,0.009493657,0.004149405,-0.001434349,0.00100336,0.00696868,0.003565088,0.000719722,,1.630026128,1.730960284,,,,,
10/27/14,-0.004095239,-0.002707581,-0.010368951,-0.005259245,-0.002450359,0.001837635,-0.00138407,0.001776212,-0.001255549,,1.641385258,1.732206095,,,,,
10/28/14,0.001623136,0.008144842,0.020955184,0.015672235,0.000338811,-0.006253127,0.012968988,0.005319187,0.000423797,,1.639113466,1.730031226,,,,,
10/29/14,-0.000756258,0.011669658,-0.001909352,-0.010596764,-0.014309856,0.002265264,-0.001466004,0.005290953,-0.001210638,,1.660371108,1.730764409,,,,,
10/30/14,-0.000432499,-0.008429503,0.011477756,0.006576447,-0.010480216,0.00083709,0.006166238,0.007894704,-0.001878931,,1.657936997,1.72866908,,,,,
10/31/14,0.00086536,-0.001342282,0.008037828,0.011200266,-0.021963694,-0.002592822,0.01186764,0.049608446,-0.003387891,,1.668160231,1.72542103,,,,,
11/3/14,0.002105842,-0.008960529,-0.006801144,-0.013476086,-0.004526913,-2.63E-08,0.000576868,0.006633461,-0.001739601,,1.687957356,1.719575493,,,,,
11/4/14,-0.00314126,-0.014466636,0.000944532,-0.001684134,0.000624155,0.003110307,-0.003651089,-0.026359164,-0.001529787,,1.688931084,1.716584118,,,,,
11/5/14,-0.000217291,0.002752385,-0.005897614,0.006935397,-0.021653894,-0.001424605,0.004725225,-0.005076092,-0.00464745,,1.682764647,1.71395811,,,,,
11/6/14,0.002608396,0.000914822,-0.014238215,-0.004095336,0.00081971,-0.006461932,0.004894845,-0.012755193,-0.002236575,,1.690716088,1.705992575,,,,,
11/7/14,0.000975568,0.00457043,0.006499754,0.000747687,0.028121624,0.011487466,0.000764109,-0.003445331,0.011008062,,1.698991882,1.702176995,,,,,
11/10/14,0.000433195,-0.00955414,0.000717517,0.004482589,-0.022218306,-0.009185795,0.003054014,0.007778795,-0.008586196,,1.700290097,1.720914665,,,,,
11/11/14,0.002273205,0.005052779,0.001673023,0.006693946,0.014303839,0.000674265,0.000951462,0.006003386,0.004504286,,1.705482806,1.706138554,,,,,
11/12/14,-0.003240035,-0.003199269,-0.002863246,-0.011821194,-0.004819716,-0.000842299,-0.00019008,-0.005115039,-0.002689912,,1.707105508,1.713823489,,,,,
11/13/14,-0.004117426,-0.018340166,-0.002392985,0.004299048,0.001524646,0.002360336,-0.000190126,0.008569042,-0.001258818,,1.706781021,1.709213455,,,,,
11/14/14,-0.005004976,0.010742597,0.010554161,0.000186171,0.025073906,0.004877586,9.50E-05,0,0.007487127,,1.706456518,1.707061866,,,,,
11/17/14,-0.00010928,-0.004158965,-0.012580186,0.002791174,-0.003669066,-0.002510624,-9.50E-05,-0.016142764,-0.002808429,,1.706618703,1.719842856,,,,,
11/18/14,-0.001968516,-0.005104316,0.005048151,0.014102841,0.008768084,0.002768639,0.005895734,0.013816848,0.002968295,,1.706456518,1.7150128,,,,,
11/19/14,-0.000219197,-0.005130643,0.001913363,-0.000365976,-0.011907892,-0.00635873,-0.002552435,-0.005962477,-0.005680684,,1.716517332,1.720103464,,,,,
11/20/14,0.000109629,0.008438819,-0.001671026,-0.004210144,0.010380023,0.005220576,0.002843293,-0.010282763,0.004825738,,1.712136033,1.7103321,,,,,
11/21/14,0.00547945,0.010692701,0.030846513,0.007720552,0.004614296,0.006031168,0.005292554,0.007792264,0.006814295,,1.717004138,1.718585714,,,,,
11/24/14,-0.000109019,-0.008739696,-0.007654876,0.008573554,-0.002426536,0.00083263,0.003666437,0.001718137,-0.000921978,,1.726091476,1.730296665,,,,,
11/25/14,0.001635069,-0.004640279,-0.006545097,0.003798128,0.002345548,0.008319469,-0.00018737,0.002572829,0.003464692,,1.732420081,1.728701369,,,,,
11/26/14,0.001305937,-0.002331049,0.010352913,0.00396399,-0.001906682,0.002722784,0.002248497,-0.002566227,0.001068673,,1.732095477,1.734690788,,,,,
11/28/14,-0.00956423,-0.045794393,-0.017932011,-0.007717156,-0.026484916,0.007899279,-0.003552106,-0.003430556,-0.009827853,,1.735990089,1.736544605,,,,,
12/1/14,-0.010064633,0.020568071,-0.01825934,-0.000542658,0.039871563,-0.00583405,-0.008442797,0.005163549,0.005382577,,1.729823668,1.719478099,,,,,
12/2/14,0.005456546,-0.021113244,-0.000483116,0.000361937,-0.012352058,-0.009711936,0.006244123,0.008561618,-0.006960998,,1.715219117,1.728733322,,,,,
12/3/14,0.001661329,-0.005882304,0.005074889,-0.001989883,0.01033527,0.003906257,0.004512934,-0.000848815,0.003623892,,1.725929157,1.716699613,,,,,
12/4/14,-0.000663476,-0.002958678,-0.001202171,-0.003625097,-0.003868349,0.008361636,-0.001216744,-0.002548958,0.001778671,,1.733718162,1.722920746,,,,,
12/5/14,-0.000774506,-0.00247275,-0.000722281,0.004911776,-0.012512919,-0.005829283,0.002249071,0.000851795,-0.005011875,,1.731608671,1.725985255,,,,,
12/8/14,-0.005093559,-0.017352504,-0.016140633,-0.007784213,0.011797597,0.012222338,-0.007106079,-0.016170155,0.00308949,,1.735503182,1.717334833,,,,,
12/9/14,-0.000556431,0.007063522,-0.011263436,-0.009304915,0.020815366,0.005139899,0.000565002,0.00519026,0.006539516,,1.723170559,1.722640521,,,,,
12/10/14,-0.011470004,-0.015531013,-0.01436361,-0.011233889,-0.001946044,0.007305209,-0.016376447,-0.015490557,-0.003096053,,1.724144153,1.733905757,,,,,
12/11/14,-0.003604817,-0.009160356,-0.009296444,-0.004470065,-0.002288886,0.004109604,0.004592821,0.002622486,-0.000572135,,1.695908797,1.728537493,,,,,
12/12/14,-0.013566953,-0.008217771,-0.014963225,-0.022263855,-0.002379115,0.013562339,-0.015715799,-0.009590304,-0.000482768,,1.703697803,1.727548537,,,,,
12/15/14,-0.000573101,-0.016053807,-0.020082361,-0.016838831,-0.025721871,-0.002058612,-0.007257592,-0.019366156,-0.009491804,,1.67692283,1.726714531,,,,,
12/16/14,-0.003555022,-0.005789526,-0.009196077,0.01109381,0.004895515,0.012377004,-0.007408083,0.00089758,0.004143423,,1.664752408,1.710324896,,,,,
12/17/14,0.020370642,0.00582324,0.031026321,0.011164535,-0.005915616,-0.009012546,0.021408233,0.016781052,0.002205225,,1.652419784,1.717411495,,,,,
12/18/14,0.00800811,-0.003157842,0.015432056,0.021130795,0.007701103,-0.017793596,0.02365156,0.015971525,-0.001772607,,1.687795171,1.721198774,,,,,
12/19/14,0.009622921,0.014783421,0.004812537,-0.003728576,-0.003300087,0.013446097,0.004132646,0.005240208,0.008225366,,1.72771416,1.718147764,,,,,
