Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,Portfolio,VTI,,,,
11/14/12,-0.005481853,0.002917578,-0.014619922,-0.008908713,0.000239336,0.000947818,-0.014034563,-0.001888759,1.790266039,1.100076712,,,,
11/15/12,-0.000440982,-0.004000036,0.003461995,-0.000449459,-0.006282177,-0.001972699,-0.002588071,-0.002625002,1.786884658,1.084637616,,,,
11/16/12,0.002867565,0.004381198,0.002464224,-0.006294919,-0.001264321,-0.000869709,0.005477829,0.000634985,1.782194082,1.081830497,,,,
11/19/12,0.012647113,0.018902254,0.017699129,0.025113125,0.011996563,-0.005618418,0.0206452,0.007190475,1.783325748,1.08775658,,,,
11/20/12,0.000108545,-0.006778487,-0.002415497,0.00353124,-0.002859332,-0.010027066,0.001123668,-0.004991275,1.796148707,1.110213531,,,,
11/21/12,-0.00032576,0.004310309,-0.001452732,0.002858945,0.001015586,-0.000562699,0.002525612,0.00058561,1.787183635,1.111461043,,,,
11/23/12,0.003367419,0.003576538,0.015518908,0.025000072,0.012234442,-0.0009652,0.013016102,0.005142337,1.788230227,1.114268162,,,,
11/26/12,0.000216488,-0.001425481,0.001432586,-0.003851097,-0.001061305,0.004750052,-0.001243388,0.001339241,1.797425911,1.12877159,,,,
11/27/12,0.000974174,-0.001427552,-0.008345214,-0.005584228,-0.00424946,0.003926265,-0.005256564,-6.45E-05,1.799833098,1.12736809,,,,
11/28/12,0.000216231,-0.003216619,0.00480887,0.009287252,-0.012803058,-0.001436671,0.007926572,-0.002540701,1.799717093,1.121442007,,,,
11/29/12,0.004432468,0.006812514,0.006939496,0.009629803,0.003782588,0.000159837,0.005794678,0.00321876,1.795144551,1.130331198,,,,
11/30/12,0.001506836,0.000712251,-0.001425909,0.000423928,-0.006759122,-0.002717151,-0.000274416,-0.002112371,1.80092269,1.136881103,,,,
12/3/12,0.005066914,0.002491103,0.000237951,0.003813565,0.000481795,0.000923424,-0.004390771,0.001491479,1.797118474,1.136569124,,,,
12/4/12,0,-0.008874689,0.002617185,0.005065396,-0.010293186,0.005775659,-0.001378139,-0.000679529,1.799798839,1.131578709,,,,
12/5/12,0.001612402,-0.001074534,0.011390612,0.002309952,-0.001824614,-0.000478527,0.001932088,0.000136906,1.798575823,1.130019236,,,,
12/6/12,0.001824409,-0.008963787,0.006335046,-0.000628504,0.00231541,0.00215446,0.003168085,0.001076436,1.79882206,1.132202532,,,,
12/7/12,-0.001499736,-0.001085311,0.00349736,-0.003773591,0.004012182,-0.009236376,0.002883415,-0.002937655,1.800758378,1.135789446,,,,
12/10/12,0.000858307,-0.002173198,0.006737954,0.002735708,0.003875024,0.004420182,0.001232152,0.002766313,1.795468371,1.139064399,,,,
12/11/12,0.000964687,-0.001814846,0.005077249,0.007135378,-0.000904759,-0.007601256,0.006290162,-0.002343978,1.800435198,1.1404679,,,,
12/12/12,0.002998574,0.004727236,0.003903592,0.004167464,0.000724479,-0.011610107,0.00040775,-0.002993296,1.796215018,1.147641628,,,,
12/13/12,-0.0035234,-0.009048136,-0.004803361,-0.003320201,-0.008445491,0.000734185,-0.00570505,-0.003640919,1.790838415,1.148109579,,,,
12/14/12,-0.000750028,0.006208912,0.005056347,0.006037921,-0.00146006,0.007499167,-0.004234946,0.003111307,1.784318117,1.141559556,,,,
12/17/12,0.003860186,-0.00072588,0.002515442,0.003518267,0.001888728,-0.014967624,0.012484623,-0.003710309,1.789869678,1.136725114,,,,
12/18/12,0.000534019,0.002542644,0.006158777,0.010311383,-0.014351739,-0.010184784,0.011653121,-0.005244896,1.783228708,1.150916698,,,,
12/19/12,-0.001067559,0.003623225,-0.001360262,0.00142887,-0.002406219,0.003319232,-0.006161359,0.000555473,1.773875858,1.16432847,,,,
12/20/12,0.003526789,-0.004693177,0.006880813,0.004335456,-0.012121999,0.000165385,0.00549865,-0.001568179,1.774861198,1.157154624,,,,
12/21/12,-0.002875443,-0.001813565,-0.01093403,-0.009001673,0.003756376,0.010915411,-0.008506581,0.003106759,1.772077898,1.163517413,,,,
12/24/12,-0.003631269,-0.003270349,-0.002072682,-0.002683688,0.001808726,-0.001799607,-0.003404605,-0.001694006,1.777583318,1.153619857,,,,
12/26/12,0.002424969,0.010207765,0.002538577,0.001034965,0.000996165,0.003597132,-0.004782709,0.0028754,1.77457208,1.149692238,,,,
12/27/12,0.00204274,0,0.007136304,0.003722093,0.002363509,0.003355182,-0.000823915,0.002400833,1.779674684,1.144193594,,,,
12/28/12,-0.002682405,-0.002887044,0.002971465,-0.013184993,-0.003847177,0.005709139,-0.010856028,-0.000419072,1.783947386,1.143250876,,,,
12/31/12,0.004303405,0.005428954,0.014813058,0.019624198,0.009218955,-0.017273521,0.018060518,-0.001203014,1.783199782,1.130839712,,,,
1/2/13,0.009426947,0.00359964,0.021109429,0.01208027,0.007097852,-0.013368564,0.025382096,0.001054711,1.781054569,1.151263262,,,,
1/3/13,-0.003077591,-0.008249606,-0.005937998,-0.011733799,-0.012073304,-0.01354964,-0.001463937,-0.00969061,1.782933066,1.180484737,,,,
1/4/13,0.00063868,-0.004339928,0.001769873,0.008393017,-0.004714609,0.003900277,0.005064704,0.000827141,1.765655357,1.178756581,,,,
1/7/13,0.00085109,0.001816164,-0.008613059,-0.004060022,-0.006295244,0.000422259,-0.002652229,-0.001306204,1.767115802,1.184726635,,,,
1/8/13,-0.000744048,0.002538071,-0.00824234,-0.003261305,0.007087782,0.006585117,-0.002659182,0.003602315,1.764807588,1.181584469,,,,
1/9/13,0.001914691,-0.001446618,0.00584002,0.003067433,-0.00043593,-0.00092259,0.0030662,0.000215753,1.77116498,1.17844242,,,,
1/10/13,0.001698656,0.003621804,0.008932613,0.016106048,0.009284011,-0.002770336,0.006911279,0.002699766,1.771547114,1.182055761,,,,
1/11/13,0.001801777,-0.004330531,-0.007525462,0.004213458,-0.005679701,0.008923289,0.000131919,0.002075549,1.776329877,1.190225279,,,,
1/14/13,-0.001375345,0.006524103,0.004014285,-0.000799233,0.002980225,-0.002753453,-0.00105575,-1.36E-05,1.780016737,1.190382292,,,,
