Date,HYG Returns,DBC Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,,VTI,Portfolio,,,,
6/15/15,-0.004705424,-0.004548039,-0.010451727,0.004415791,0.001610871,-0.004492917,-0.000731772,,1.787409317,1.721621204,,,,
6/16/15,0.005628095,0.002855454,0.000716096,-0.003605056,0.007787356,0.005434317,0.003374541,,1.779378635,1.72036137,,,,
6/17/15,-0.000895387,0.002847494,-0.001073375,0.004677003,-0.007643168,0.001648888,-0.001108201,,1.789048341,1.7261668,,,,
6/18/15,0.00369699,0,0.012535842,0.012911744,-0.004909033,0.009968941,0.004156636,,1.791998282,1.72425386,,,,
6/19/15,0.000558138,-0.009085746,-0.004421649,-0.001734279,0.012843431,-0.004437178,0.002223224,,1.809862607,1.731420955,,,,
6/22/15,0.002008031,0.003438338,0.023272299,-0.012856185,-0.020406453,0.006094219,-0.006940185,,1.801831925,1.735270291,,,,
6/23/15,-0.000667966,0.01199309,-0.001388854,-0.006599789,-0.006000895,0.000994491,-0.002609155,,1.812812683,1.723227195,,,,
6/24/15,-0.002673866,-0.006771953,-0.007997201,-0.002657481,0.008624408,-0.00758674,-0.000253618,,1.814615509,1.718731027,,,,
6/25/15,-0.003016048,0.00113642,-0.000525823,-0.001332214,-0.003505738,-0.003094252,-0.002190824,,1.800848494,1.718295126,,,,
6/26/15,-0.002913191,0.004540295,0.002119349,0.0010672,-0.011240752,-0.000568472,-0.00333314,,1.795276214,1.714530644,,,,
6/29/15,-0.006854706,-0.004519774,-0.0350098,0.004530935,0.026468765,-0.020915496,0.003593619,,1.794255649,1.708815873,,,,
6/30/15,0.004752276,0.021566344,-0.005893165,-0.006190829,-0.006932706,0.002717067,-0.001268771,,1.756727902,1.714956706,,,,
7/1/15,0.000169614,-0.012222167,0.004816625,-0.003470677,-0.013498072,0.006540878,-0.005369818,,1.761501049,1.712780818,,,,
7/2/15,0.003732209,-0.001687345,0.000553074,-0.001964645,0.003286602,-0.001299655,0.000888342,,1.773022812,1.703583496,,,,
7/6/15,-0.003267614,-0.032676056,-0.023217275,0.002684288,0.0185345,-0.002602703,0.00123314,,1.770718493,1.705096862,,,,
7/7/15,0.00079132,-0.005824112,-0.000943217,-0.011600893,0.009394839,0.005591783,0.000259463,,1.766109839,1.707199485,,,,
7/8/15,-0.004970104,-0.004686585,-0.014539285,0.002979361,0.008636587,-0.016774838,-0.000428696,,1.775985541,1.70764244,,,,
7/9/15,0.00227046,0.011771689,0.017819525,0.002430507,-0.019702413,0.002073724,-0.002880676,,1.746193671,1.70691038,,,,
7/10/15,0.005776446,0.00465381,0.041603967,0.001167358,-0.015858168,0.012134334,0.00074105,,1.749814794,1.701993324,,,,
7/13/15,0.000900831,0.000579097,0.000361415,-0.004484707,-0.003102116,0.011338295,-0.000742752,,1.771047631,1.703254586,,,,
7/14/15,-0.001012556,-0.003472338,0.008491433,-0.002252455,0.003284613,0.004594745,0.001149157,,1.791128292,1.70198949,,,,
7/15/15,0,-0.011614344,-0.004657798,-0.005237439,0.010510915,-0.001372126,0.00056302,,1.799358069,1.703945343,,,,
